CustomerId,CreditScore,Tenure,Balance,Products,CreditCard,ActiveMember,Exited
10000000,498,8,42348.27,2,0,1,0
10000001,715,4,9733.79,2,1,1,0
10000002,748,2,69334.23,2,1,1,0
10000003,791,0,0,2,1,0,0
10000004,616,7,33750.09,1,0,1,0
10000005,617,4,0,2,1,1,0
10000006,845,2,43748.93,1,0,1,0
10000007,708,7,11642.52,1,1,1,0
10000008,642,7,55051.24,2,0,0,1
10000009,699,4,0,1,0,0,1
10000010,608,8,48894.02,2,1,0,0
10000011,680,7,0,2,1,0,0
10000012,678,5,34675.87,2,1,0,0
10000013,731,4,0,2,1,1,0
10000014,555,4,0,1,1,1,0
10000015,685,5,27188.64,2,1,1,0
10000016,538,9,36272.37,2,0,1,0
10000017,832,8,74317.91,2,0,0,1
10000018,610,7,55334.38,1,1,1,0
10000019,491,10,68219.8,1,0,0,1
10000020,850,8,0,2,1,1,0
10000021,600,5,74766.42,2,1,0,0
10000022,660,7,0,3,0,0,1
10000023,487,9,35117.39,2,0,0,1
10000024,645,5,23041.73,1,1,0,0
10000025,812,4,0,2,1,1,0
10000026,719,10,0,2,1,1,0
10000027,486,7,52322.27,1,1,1,0
10000028,577,8,0,3,1,0,0
10000029,739,3,37750.95,3,0,0,1
10000030,712,8,54543.78,1,0,0,0
10000031,604,4,46720.24,1,1,1,0
10000032,689,5,55322,1,1,0,0
10000033,535,2,67612.06,1,1,1,0
10000034,524,4,9344.71,1,0,0,1
10000035,410,1,47534.04,1,1,0,0
10000036,740,8,34563.88,1,1,1,0
10000037,640,3,45455.79,2,1,0,0
10000038,651,6,0,1,0,1,0
10000039,354,2,55452.2,2,1,0,0
10000040,646,6,42684.96,1,0,1,0
10000041,704,0,0,2,1,0,0
10000042,449,2,3360.08,1,1,1,0
10000043,655,9,51468.25,2,0,0,1
10000044,644,3,34517.18,2,0,0,1
10000045,606,4,61121.77,1,1,0,0
10000046,777,0,50036.42,1,1,1,0
10000047,754,9,66534.03,2,1,1,0
10000048,850,4,57661.1,1,0,1,0
10000049,533,9,43510.19,2,1,1,0
10000050,692,3,58919.94,1,1,1,0
10000051,795,1,68402.63,1,1,1,0
10000052,584,9,39458.6,2,1,1,0
10000053,814,6,0,3,1,1,0
10000054,686,5,0,1,0,1,0
10000055,482,3,34083.47,2,0,0,1
10000056,526,8,8162.81,1,0,1,0
10000057,594,0,61933.53,2,0,0,1
10000058,642,7,27067.13,1,1,1,0
10000059,770,2,45781.59,2,0,1,0
10000060,642,6,69741.24,1,1,0,0
10000061,766,10,32578.35,2,1,1,0
10000062,661,5,53544.48,1,1,1,0
10000063,652,5,38086.89,3,0,1,0
10000064,622,4,41358.99,3,1,0,0
10000065,745,5,0,2,0,1,0
10000066,663,4,44440.97,1,1,1,0
10000067,580,5,16430.42,1,0,0,1
10000068,683,4,36679.71,2,1,1,0
10000069,606,5,65438.24,2,0,1,0
10000070,601,3,32194.95,1,1,0,0
10000071,765,5,56803.84,1,0,0,0
10000072,635,5,74690.28,1,1,0,0
10000073,850,10,0,2,1,1,0
10000074,722,10,26695.72,1,1,1,0
10000075,577,6,13339.35,1,0,1,0
10000076,570,4,20990.54,2,1,0,0
10000077,531,6,70079.41,2,1,1,0
